,vessel,datet,lat,lon,depth,depth_range,hours,mean_temp,std_temp
135,11,2018-10-20 17:07:07,39.7717,-72.2786,94.0,5.0,3.350,1280.0,19.0
136,11,2018-10-04 17:41:15,41.6479,-68.4935,149.0,24.0,3.900,678.0,4.0
137,11,2018-10-19 22:36:40,39.7742,-72.454,78.0,9.0,3.700,1219.0,6.0
138,11,2018-10-25 16:14:24,39.711,-72.5276,79.0,7.0,2.350,1250.0,6.0
139,11,2018-10-09 20:31:12,39.7759,-72.1825,100.0,13.0,3.000,1281.0,8.0
140,11,2018-10-09 16:55:56,39.782,-72.1903,97.0,6.0,2.775,1281.0,10.0
141,11,2018-10-21 11:54:52,41.0615,-71.6953,51.0,9.0,1.200,1253.0,8.0
142,11,2018-10-17 12:46:54,39.9511,-72.3676,73.0,6.0,2.100,1196.0,8.0
143,11,2018-10-24 22:39:16,39.7862,-72.4325,80.0,10.0,4.400,1259.0,10.0
144,11,2018-10-25 19:35:26,39.6953,-72.5253,80.0,5.0,2.725,1254.0,4.0
145,11,2018-10-18 14:29:22,39.9542,-72.346,75.0,10.0,3.450,1231.0,15.0
146,11,2018-10-03 18:33:13,41.2525,-68.8703,101.0,3.0,0.925,811.0,1.0
147,11,2018-10-26 11:06:46,39.9844,-73.209,59.0,3.0,0.550,1179.0,1.0
148,11,2018-10-17 19:06:10,39.9752,-72.3719,73.0,4.0,2.725,1196.0,9.0
149,11,2018-10-03 22:38:20,41.2626,-68.8516,101.0,10.0,0.550,871.0,18.0
150,11,2018-10-10 23:01:07,39.7456,-72.3007,96.0,9.0,1.875,1286.0,2.0
151,11,2018-10-26 01:24:48,39.7405,-72.7452,71.0,4.0,2.125,1258.0,8.0
152,11,2018-09-21 02:48:39,41.5269,-68.7048,142.0,15.0,3.950,644.0,2.0
153,11,2018-09-20 18:17:56,41.4762,-68.5041,93.0,9.0,1.425,740.0,8.0
154,11,2018-09-15 16:35:24,41.8424,-67.9178,52.0,8.0,2.925,1274.0,75.0
155,11,2018-09-19 18:32:38,41.8981,-67.864,55.0,9.0,3.475,1032.0,25.0
156,11,2018-09-15 20:21:46,41.8236,-67.9088,52.0,8.0,3.200,1416.0,27.0
157,11,2018-09-17 10:32:01,41.8968,-67.8766,58.0,10.0,3.875,1482.0,72.0
158,11,2018-09-21 16:54:43,41.4795,-68.5056,94.0,7.0,1.925,797.0,13.0
159,11,2018-09-18 01:06:43,41.9123,-67.8441,57.0,8.0,3.850,1432.0,87.0
160,11,2018-09-17 15:33:50,41.9082,-67.8545,56.0,8.0,4.475,1206.0,243.0
161,11,2018-09-22 05:44:49,41.6376,-68.4967,145.0,23.0,2.650,671.0,3.0
162,11,2018-09-18 17:18:45,42.0193,-67.6711,71.0,9.0,0.725,853.0,2.0
163,11,2018-09-18 23:11:04,41.9558,-67.7793,60.0,9.0,3.100,1326.0,28.0
164,11,2018-09-18 09:45:35,41.8674,-67.4729,51.0,8.0,1.200,1600.0,7.0
165,11,2018-09-21 12:08:16,41.4732,-68.5078,94.0,7.0,1.600,785.0,16.0
166,11,2018-09-22 07:34:45,41.638,-68.4864,135.0,9.0,1.125,671.0,5.0
167,11,2018-09-19 03:21:00,41.886,-67.8799,55.0,7.0,3.625,1314.0,124.0
168,11,2018-09-21 19:45:38,41.4737,-68.5051,93.0,10.0,2.250,805.0,18.0
169,11,2018-09-16 09:22:04,41.8359,-67.9225,51.0,8.0,3.825,1505.0,24.0
170,11,2018-09-16 20:53:37,41.8878,-67.8909,57.0,9.0,3.725,1439.0,43.0
171,11,2018-09-17 19:05:41,41.9328,-67.8168,59.0,9.0,2.325,1305.0,121.0
172,11,2018-09-22 10:50:51,41.6418,-68.4933,147.0,22.0,2.825,670.0,3.0
173,11,2018-09-21 22:16:33,41.4854,-68.512,96.0,12.0,1.875,801.0,10.0
174,11,2018-09-16 16:29:23,41.8895,-67.8894,56.0,7.0,2.800,1084.0,45.0
175,11,2018-09-19 22:38:52,41.881,-67.8777,54.0,6.0,3.100,1299.0,78.0
176,11,2018-09-16 13:05:28,41.881,-67.896,56.0,9.0,2.825,1178.0,189.0
177,11,2018-09-15 22:56:16,41.8351,-67.9197,50.0,8.0,1.625,1386.0,44.0
178,11,2018-09-22 15:35:00,41.6408,-68.4915,144.0,24.0,3.750,681.0,13.0
179,11,2018-09-20 14:06:09,41.4975,-68.4978,95.0,7.0,1.625,742.0,7.0
180,11,2018-09-15 13:03:09,41.8385,-67.9171,50.0,8.0,3.200,1332.0,57.0
181,11,2018-09-20 21:06:09,41.4834,-68.4998,94.0,7.0,2.150,742.0,9.0
182,11,2018-09-17 06:02:25,41.9,-67.8725,57.0,8.0,3.850,1193.0,63.0
183,11,2018-09-18 13:59:05,41.9851,-67.7393,60.0,4.0,1.100,923.0,19.0
184,11,2018-09-17 20:40:17,41.9465,-67.7919,58.0,4.0,1.275,1465.0,13.0
185,11,2018-09-20 10:38:08,41.6728,-68.5245,175.0,28.0,3.700,756.0,54.0
186,11,2018-09-16 04:41:48,41.8336,-67.9193,49.0,8.0,2.925,1317.0,22.0
187,11,2018-09-18 05:05:42,41.8784,-67.8904,54.0,8.0,3.350,1114.0,104.0
188,11,2018-09-18 19:31:54,41.9992,-67.7021,63.0,6.0,1.050,986.0,36.0
189,11,2018-09-20 04:39:48,41.8463,-68.1715,154.0,25.0,3.650,729.0,28.0
